,,,,,Construction_Field.yuv 3840x2160 (300 frames),,,,
Model,QP,Bitrate (kbps),YUV-PSNR (db),User time (s),System time (s),Real time (s),Total time (user+sys) (min),MS-SSIM,VMAF
CNN,22,70350.5707,43.0674, 31m17.447s,0m20.082s,29m0.400s,31.62548333,0.994112,99.981393
CNN,27,40229.9247,41.802, 22m46.752s,0m43.426s, 20m50.054s,23.50296667,0.991055,99.035356
CNN,32,23884.5793,40.2058, 20m23.254s,0m35.275s,18m11.479s,20.97548333,0.985268,92.562873
CNN,37,14470.6567,38.3186,17m25.756s,0m39.575s, 15m23.307s,18.08885,0.974283,80.708134
HEVC,22,68664.6587,43.0903, 156m1.059s,0m26.826s, 156m30.095s,156.46475,0.994145,99.981457
HEVC,27,39163.9947,41.8337,128m35.038s, 0m25.664s,129m3.759s,129.0117,0.991113,99.112281
HEVC,32,23146.5833,40.2513, 121m15.724s, 0m40.875s,121m59.001s,121.9433167,0.985402,92.73034
HEVC,37,13935.002,38.3763, 111m53.087s, 0m20.590s, 112m16.840s,112.22795,0.974594,80.982379
,,,,,Scarf.yuv 3840x2160 (253 frames),,,,
FasterViT,22,147417.3462,42.3649,30m43.787s,0m31.521s, 28m26.536s,31.25513333,0.994857,96.115857
FasterViT,27,81937.9202,40.1686, 23m25.973s, 0m30.218s, 21m0.765s,23.93651667,0.991458,92.880339
FasterViT,32,45976.996,37.9214,20m51.578s, 0m32.715s,17m40.896s,21.40488333,0.984736,86.390371
FasterViT,37,26042.2545,35.6762,18m31.111s,0m32.751s,15m31.993s,19.06436667,0.971805,74.45846
CNN,22,148361.7123,42.3616, 31m36.434s,0m30.877s,29m47.928s,32.12185,0.994859,96.097165
CNN,27,82645.1628,40.1579,24m12.741s,0m14.650s,23m30.186s,24.45651667,0.991447,92.845651
CNN,32,46405.6427,37.907,21m36.053s, 0m42.407s,18m55.043s,22.30766667,0.984678,86.322116
CNN,37,26331.0514,35.6587,19m26.777s,0m32.473s,15m46.048s,19.9875,0.97164,74.325204
HEVC,22,145922.8174,42.3904, 153m4.365s,0m14.992s,153m22.271s,153.3226167,0.994889,96.142004
HEVC,27,81173.8577,40.1956,124m21.228s, 0m12.178s,124m36.539s,124.5567667,0.991508,92.914851
HEVC,32,45358.5447,37.9511,108m49.679s,0m12.465s, 109m5.505s,109.0357333,0.984833,86.455349
HEVC,37,25538.9676,35.7081,99m38.402s, 0m14.541s,99m54.120s,99.88238333,0.971977,74.584593
,,,,,Netflix_BoxingPractice_4096x2160_60fps_8bit_420.yuv (150 frames),,,,
FasterViT,22,171459.2544,44.0046,20m40.614s,0m22.440s,19m13.481s,21.0509,0.993312,99.96799
FasterViT,27,81666.0384,42.3228,15m47.961s,0m26.362s,13m54.499s,16.23871667,0.98917,99.809366
FasterViT,32,46908.1824,40.7433,12m45.365s,0m22.686s,10m54.406s,13.13418333,0.984587,94.425672
FasterViT,37,27547.888,38.8522,9m24.289s, 0m21.740s,8m38.000s,9.76715,0.97646,84.616966
CNN,22,174454.6112,44.0044,21m45.143s,0m39.910s,20m27.446s,22.41755,0.99332,99.967791
CNN,27,83623.952,42.3123,16m30.340s,0m42.723s,14m51.437s,17.21771667,0.989169,99.792544
CNN,32,48129.8528,40.7235,13m15.363s,0m40.724s,11m49.393s,13.93478333,0.984545,94.357549
CNN,37,28316.9376,38.8248,10m54.988s, 0m39.538s,9m40.899s,11.57543333,0.9763,84.441403
HEVC,22,170472.2656,44.0443,79m34.936s,0m7.260s,79m44.041s,79.70326667,0.993402,99.96824
HEVC,27,80027.1904,42.35,66m47.580s,0m7.964s,66m54.785s,66.92573333,0.989248,99.832596
HEVC,32,45654.1792,40.7828,61m32.512s,0m8.070s,61m41.948s,61.67636667,0.984722,94.519437
HEVC,37,26608.8192,38.9076,58m42.759s, 0m7.762s,58m52.034s,58.84201667,0.976716,84.772334
,,,,,Netflix_Boat_4096x2160_60fps_8bit_420.yuv (120 frames),,,,
FasterViT,22,385561.784,43.6498,16m42.420s,0m20.011s,14m58.573s,17.04051667,0.997708,99.954103
FasterViT,27,229176.092,41.0722,12m25.384s,0m19.035s,10m53.265s,12.74031667,0.995151,99.911329
FasterViT,32,140303.768,38.5212,10m42.564s,0m25.097s,9m16.898s,11.12768333,0.989339,94.212398
FasterViT,37,85021.7,35.8142,9m55.736s,0m18.961s, 8m10.699s,10.24495,0.975907,82.328232
CNN,22,388988.768,43.656,17m27.462s,0m33.509s,16m1.049s,18.01618333,0.99771,99.954097
CNN,27,231392.524,41.0728,13m4.665s,0m29.483s,11m53.627s,13.56913333,0.995142,99.910712
CNN,32,141732,38.5151,11m4.718s,0m31.193s,9m57.354s,11.59851667,0.989303,94.184582
CNN,37,85951.032,35.8062,10m18.853s,0m33.070s,8m52.430s,10.86538333,0.975775,82.262879
HEVC,22,384991.664,43.7077,75m23.844s,0m6.860s,75m32.467s,75.51173333,0.997737,99.954528
